stock_id,stock_name,con_code,trade_date,weight
000001,平安银行,000001.SZ,20260130,0.409
000002,万科A,000002.SZ,20260130,0.129
000063,中兴通讯,000063.SZ,20260130,0.483
000100,TCL科技,000100.SZ,20260130,0.393
000157,中联重科,000157.SZ,20260130,0.17
000166,申万宏源,000166.SZ,20260130,0.178
000301,东方盛虹,000301.SZ,20260130,0.136
000333,美的集团,000333.SZ,20260130,1.488
000338,潍柴动力,000338.SZ,20260130,0.501
000408,藏格矿业,000408.SZ,20260130,0.264
000425,徐工机械,000425.SZ,20260130,0.393
000538,云南白药,000538.SZ,20260130,0.193
000568,泸州老窖,000568.SZ,20260130,0.346
000596,古井贡酒,000596.SZ,20260130,0.084
000617,中油资本,000617.SZ,20260130,0.089
000625,长安汽车,000625.SZ,20260130,0.215
000630,铜陵有色,000630.SZ,20260130,0.259
000651,格力电器,000651.SZ,20260130,0.675
000661,长春高新,000661.SZ,20260130,0.122
000708,中信特钢,000708.SZ,20260130,0.065
000725,京东方A,000725.SZ,20260130,0.625
000768,中航西飞,000768.SZ,20260130,0.153
000776,广发证券,000776.SZ,20260130,0.258
000786,北新建材,000786.SZ,20260130,0.111
000792,盐湖股份,000792.SZ,20260130,0.405
000807,云铝股份,000807.SZ,20260130,0.273
000858,五粮液,000858.SZ,20260130,0.793
000876,新希望,000876.SZ,20260130,0.079
000895,双汇发展,000895.SZ,20260130,0.104
000938,紫光股份,000938.SZ,20260130,0.195
000963,华东医药,000963.SZ,20260130,0.123
000975,山金国际,000975.SZ,20260130,0.226
000977,浪潮信息,000977.SZ,20260130,0.252
000983,山西焦煤,000983.SZ,20260130,0.081
000999,华润三九,000999.SZ,20260130,0.073
001391,国货航,001391.SZ,20260130,0.023
001965,招商公路,001965.SZ,20260130,0.074
001979,招商蛇口,001979.SZ,20260130,0.148
002001,新和成,002001.SZ,20260130,0.167
002027,分众传媒,002027.SZ,20260130,0.283
002028,思源电气,002028.SZ,20260130,0.448
002049,紫光国微,002049.SZ,20260130,0.223
002050,三花智控,002050.SZ,20260130,0.444
002074,国轩高科,002074.SZ,20260130,0.16
002142,宁波银行,002142.SZ,20260130,0.398
002179,中航光电,002179.SZ,20260130,0.17
002230,科大讯飞,002230.SZ,20260130,0.536
002236,大华股份,002236.SZ,20260130,0.146
002241,歌尔股份,002241.SZ,20260130,0.251
002252,上海莱士,002252.SZ,20260130,0.13
002304,洋河股份,002304.SZ,20260130,0.13
002311,海大集团,002311.SZ,20260130,0.167
002352,顺丰控股,002352.SZ,20260130,0.35
002371,北方华创,002371.SZ,20260130,0.801
002384,东山精密,002384.SZ,20260130,0.386
002415,海康威视,002415.SZ,20260130,0.447
002422,科伦药业,002422.SZ,20260130,0.135
002459,晶澳科技,002459.SZ,20260130,0.087
002460,赣锋锂业,002460.SZ,20260130,0.302
002463,沪电股份,002463.SZ,20260130,0.366
002466,天齐锂业,002466.SZ,20260130,0.22
002475,立讯精密,002475.SZ,20260130,1.026
002493,荣盛石化,002493.SZ,20260130,0.172
002594,比亚迪,002594.SZ,20260130,0.961
002600,领益智造,002600.SZ,20260130,0.208
002601,龙佰集团,002601.SZ,20260130,0.144
002625,光启技术,002625.SZ,20260130,0.279
002648,卫星化学,002648.SZ,20260130,0.16
002709,天赐材料,002709.SZ,20260130,0.226
002714,牧原股份,002714.SZ,20260130,0.489
002736,国信证券,002736.SZ,20260130,0.15
002916,深南电路,002916.SZ,20260130,0.243
002920,德赛西威,002920.SZ,20260130,0.142
002938,鹏鼎控股,002938.SZ,20260130,0.155
003816,中国广核,003816.SZ,20260130,0.118
300014,亿纬锂能,300014.SZ,20260130,0.309
300015,爱尔眼科,300015.SZ,20260130,0.201
300033,同花顺,300033.SZ,20260130,0.292
300059,东方财富,300059.SZ,20260130,1.117
300122,智飞生物,300122.SZ,20260130,0.081
300124,汇川技术,300124.SZ,20260130,0.549
