stock_id,industry
000001,银行
000002,全国地产
000063,通信设备
000100,元器件
000157,工程机械
000166,证券
000301,化纤
000333,家用电器
000338,汽车配件
000408,农药化肥
000425,工程机械
000538,中成药
000568,白酒
000596,白酒
000617,多元金融
000625,汽车整车
000630,铜
000651,家用电器
000661,生物制药
000708,特种钢
000725,元器件
000768,航空
000776,证券
000786,其他建材
000792,农药化肥
000807,铝
000858,白酒
000876,饲料
000895,食品
000938,IT设备
000963,化学制药
000975,黄金
000977,IT设备
000983,煤炭开采
000999,中成药
001391,仓储物流
001965,路桥
001979,全国地产
002001,化学制药
002027,广告包装
002028,电气设备
002049,半导体
002050,家用电器
002074,电气设备
002142,银行
002179,元器件
002230,软件服务
002236,IT设备
002241,元器件
002252,生物制药
002304,白酒
002311,饲料
002352,仓储物流
002371,半导体
002384,元器件
002415,IT设备
002422,化学制药
002459,电气设备
002460,小金属
002463,元器件
002466,小金属
002475,元器件
002493,化纤
002594,汽车整车
002600,元器件
002601,化工原料
002625,航空
002648,化工原料
002709,化工原料
002714,农业综合
002736,证券
002916,元器件
002920,汽车配件
002938,元器件
003816,新型电力
300014,电气设备
300015,医疗保健
300033,软件服务
300059,证券
300122,生物制药
300124,电器仪表
300251,影视音像
300274,电气设备
300308,通信设备
300316,专用机械
300347,医疗保健
300394,通信设备
300408,元器件
300413,影视音像
300418,互联网
300433,元器件
300442,软件服务
300476,元器件
300498,农业综合
300502,通信设备
300628,通信设备
300661,半导体
300750,电气设备
300759,化学制药
300760,医疗保健
300782,半导体
300803,软件服务
300832,医疗保健
300866,元器件
300896,医疗保健
300979,服饰
300999,食品
301236,软件服务
301269,半导体
302132,航空
600000,银行
600009,机场
600010,普钢
600011,火力发电
600015,银行
600016,银行
600018,港口
600019,普钢
600023,火力发电
600025,水力发电
600026,水运
600027,火力发电
600028,石油加工
600029,空运
600030,证券
600031,工程机械
600036,银行
600039,建筑工程
600048,全国地产
600050,电信运营
600061,证券
600066,汽车整车
600085,中成药
600089,电气设备
600104,汽车整车
600111,小金属
600115,空运
600150,船舶
600160,化工原料
600161,生物制药
600176,玻璃
600183,元器件
600188,煤炭开采
600196,化学制药
600219,铝
600233,仓储物流
600276,化学制药
600309,化工原料
600346,石油加工
600362,铜
600372,航空
600377,路桥
600406,电气设备
600415,商品城
600426,农药化肥
600436,中成药
600438,电气设备
600460,半导体
600482,船舶
600489,黄金
600515,机场
600519,白酒
600522,通信设备
600547,黄金
600570,软件服务
600584,半导体
600585,水泥
600588,软件服务
600600,啤酒
600660,汽车配件
600674,水力发电
600690,家用电器
600741,汽车配件
600760,航空
600795,火力发电
600803,供气供热
600809,白酒
600845,软件服务
600875,电气设备
600886,水力发电
600887,乳制品
600893,航空
600900,水力发电
600905,新型电力
600918,证券
600919,银行
600926,银行
600930,新型电力
600938,石油开采
600941,电信运营
600958,证券
600989,化工原料
600999,证券
601006,铁路
601009,银行
601012,电气设备
601018,港口
601021,空运
601058,汽车配件
601059,证券
601066,证券
601077,银行
601088,煤炭开采
601100,工程机械
601111,空运
601117,建筑工程
601127,汽车整车
601136,证券
601138,通信设备
601166,银行
601169,银行
601186,建筑工程
601211,证券
601225,煤炭开采
601229,银行
601236,证券
601238,汽车整车
601288,银行
601298,港口
601318,保险
601319,保险
601328,银行
601336,保险
601360,互联网
601377,证券
601390,建筑工程
601398,银行
601456,证券
601600,铝
601601,保险
601607,医药商业
601618,建筑工程
601628,保险
601633,汽车整车
601658,银行
601668,建筑工程
601669,建筑工程
601688,证券
601689,汽车配件
601698,电信运营
601728,电信运营
601766,运输设备
601788,证券
601800,建筑工程
601808,石油开采
601816,铁路
601818,银行
601825,银行
601838,银行
601857,石油开采
601868,建筑工程
601872,水运
601877,电气设备
601878,证券
601881,证券
601888,旅游服务
601898,煤炭开采
601899,铜
601901,证券
601916,银行
601919,水运
601939,银行
601985,新型电力
601988,银行
601995,证券
601998,银行
603019,IT设备
603195,家用电器
603259,化学制药
603260,化工原料
603288,食品
603296,元器件
603369,白酒
603392,生物制药
603501,半导体
603799,小金属
603893,半导体
603986,半导体
603993,小金属
605117,电气设备
605499,软饮料
688008,半导体
688009,运输设备
688012,半导体
688036,通信设备
688041,半导体
688047,半导体
688082,半导体
688111,软件服务
688126,半导体
688169,家用电器
688187,运输设备
688223,电气设备
688256,半导体
688271,医疗保健
688303,电气设备
688396,半导体
688472,电气设备
688506,化学制药
688981,半导体
